letter,weight,rel_weight,center,rel_center,inertia,rel_inertia
ා,319.0,0.6111111111111112,"(10.501567398119123, 15.037617554858935)","(0.5589157293011249, 0.5013434841021048)","(25857.548589341695, 7095.749216300941)","(22.19532067754652, 6.090771859485787)"
ඌ,1288.0,0.4148148148148148,"(34.05512422360248, 21.231366459627328)","(0.48610476799415414, 0.45980378317334836)","(195239.05279503105, 542563.0861801242)","(28.77085953360316, 79.95329887711821)"
ඈ,1204.0,0.5029239766081871,"(28.403654485049834, 21.177740863787374)","(0.4893509729473185, 0.4921400210679847)","(132545.96345514953, 269055.8239202658)","(26.440447527458513, 53.67161857575619)"
ස,949.0,0.6590277777777778,"(23.47945205479452, 17.01264488935722)","(0.5108966376089664, 0.516536931914749)","(81553.8482613277, 150250.84931506842)","(26.747736392695213, 49.27873050674596)"
ඊ,882.0,0.5526315789473685,"(19.22562358276644, 22.010204081632654)","(0.49258442115584966, 0.5124440019910403)","(129118.90816326531, 90834.1009070295)","(40.249036210494175, 28.3148693600466)"
෴,782.0,0.46686567164179105,"(35.44245524296675, 15.255754475703325)","(0.5218553824691932, 0.5939897698209718)","(24714.84910485934, 217242.91048593342)","(4.832782382647505, 42.480037247933794)"
ක,1151.0,0.6660879629629629,"(27.695047784535188, 16.543874891398783)","(0.5036801468780224, 0.5014153190773801)","(96257.53431798436, 249933.9617723719)","(24.430846273600093, 63.43501567826698)"
ඪ,1078.0,0.5207729468599034,"(24.74860853432282, 26.500927643784788)","(0.5277468563182849, 0.5795665373587452)","(153857.49907235627, 171354.87291280148)","(37.15467256033718, 41.380070734798714)"
ම,1215.0,0.6421775898520085,"(22.31275720164609, 22.896296296296295)","(0.49564551631735093, 0.5213403880070546)","(170838.93333333332, 170667.1522633745)","(45.13578159401145, 45.090396899174245)"
ර,743.0,0.4914021164021164,"(19.545087483176314, 24.660834454912518)","(0.5298596423764661, 0.5770935232905492)","(93814.53028263795, 76438.23956931358)","(30.658343229620243, 24.979816852716855)"
ව,1014.0,0.5614617940199336,"(20.707100591715978, 22.76429980276134)","(0.48066099004185314, 0.5181976143514605)","(165554.66765286, 143164.00887573962)","(45.821939566249654, 39.624691081023975)"
ළ,1119.0,0.5920634920634921,"(22.005361930294907, 22.693476318141197)","(0.5123259007389002, 0.4930335526850272)","(180559.86237712245, 138991.9678284182)","(47.65369817290115, 36.683021332388016)"
